Date,Close,Volume,Open,High,Low
01/29/2026,495.9,69970860,509.51,509.7,468.51
01/28/2026,494.56,44154580,483.39,495.88,481.2501
01/27/2026,476.1,28386220,465.07,476.49,463.95
01/26/2026,464.7,34155970,466.78,469.28,460.36
01/23/2026,458,21531870,454.11,458.75,453.45
01/22/2026,451.79,19251190,443.84,452.9841,443.56
01/21/2026,443.6,38830230,446.87,447.9999,437.11
01/20/2026,437.23,21308140,436.69,438.1399,434.1
01/16/2026,421.29,20951570,422.8,424.8,417.04
01/15/2026,423.33,14253250,423.02,425.06,422.79
01/14/2026,425.94,18305540,426.03,426.86,422.8398
01/13/2026,421.63,16681220,424.59,426.12,420.07
01/12/2026,422.23,20904130,421.52,425.74,421.52
01/09/2026,414.47,14011240,413.215,415.29,411.8
01/08/2026,411.49,8705926,406.965,411.64,406.4
01/07/2026,409.23,10589450,408.63,410.81,406.65
01/06/2026,413.18,11640910,410.67,413.48,410.31
01/05/2026,408.76,13410640,406.39,409.72,406.15
01/02/2026,398.28,10372570,401.62,401.82,396.25
12/31/2025,396.31,10194740,398.6,400.13,395.59
12/30/2025,398.89,10179030,403.6,403.8,398.56
12/29/2025,398.6,20679240,403.66,403.76,395.33
12/26/2025,416.74,10476230,416.48,418.45,414.75
12/24/2025,411.93,6718437,412.25,412.63,408.83
12/23/2025,413.64,13193260,410.3,413.76,407.1
12/22/2025,408.23,14202070,406.98,408.52,405.72
12/19/2025,399.02,9894767,397.92,400.63,397.17
12/18/2025,398.57,11837550,398.28,402.21,396.05
12/17/2025,399.29,10456890,398.08,399.98,397.25
12/16/2025,395.89,9201557,397.75,398.71,394.59
12/15/2025,395.8,11345030,397.76,398.71,394.0738
12/12/2025,395.44,16792060,399.155,400.39,391.47
12/11/2025,393.24,11240630,389.02,394.09,388.5
12/10/2025,389.05,9120475,385.95,389.76,384.5
12/09/2025,387.4,6358694,385.62,388.21,385.27
12/08/2025,385.42,6822119,387.02,387.2418,384.01
12/05/2025,386.44,9449808,389.12,391.735,386.175
12/04/2025,387.13,6754434,386.92,388,385.4
12/03/2025,386.88,7886793,388.46,390.1293,385.83
12/02/2025,387.24,8103923,388.87,388.98,382.9103
12/01/2025,389.75,11177070,390.61,390.7001,388.0605
11/28/2025,387.88,7175407,385.98,388,384.99
11/26/2025,383.12,9184071,381.055,383.775,380.46
11/25/2025,380.08,10462810,380.255,382.52,378.06
11/24/2025,380.2,10085320,374.88,380.28,374.19
11/21/2025,374.27,13194560,374.025,377.23,372.94
11/20/2025,374.85,10506550,375.29,377.6925,371.8514
11/19/2025,374.96,10980420,377.775,380.17,373.03
11/18/2025,374.35,7818783,374.832,375.54,371.62
11/17/2025,371.65,13295250,374.035,375.4553,368.52
11/14/2025,375.96,15198030,372.87,378.2,370.89
11/13/2025,382.87,15867870,387.29,388.18,381.21
11/12/2025,385.99,16203720,380.07,387.46,379.44
11/11/2025,379.87,10753180,379.98,380.4,376.87
11/10/2025,378.38,13456210,375.93,378.66,374.7814
11/07/2025,368.31,11060360,367.94,370.42,366.42
11/06/2025,366.07,6891096,367.16,368.18,364.7
11/05/2025,366.51,8357300,366.39,367.1,364.65
11/04/2025,362.32,11540060,363.48,365.74,361.39
11/03/2025,368.78,7254265,368.91,370.84,367.54
10/31/2025,368.12,11077910,370.47,370.6625,365.5
10/30/2025,370.13,14812750,365.09,370.36,364.5
10/29/2025,363,18891850,369.65,370.08,361.3601
10/28/2025,364.38,19257590,361.81,365.3,360.12
10/27/2025,367.01,23657600,371.13,371.59,365.34
10/24/2025,377.52,13263800,378.51,380.77,376.81
10/23/2025,378.79,13695500,381.46,382.25,378.65
10/22/2025,377.28,30524130,372.75,378.47,368.93
10/21/2025,377.24,54101420,386.54,388.89,375.65
10/20/2025,403.15,34523020,397.45,403.3,394.2
10/17/2025,388.99,62024970,397.14,397.28,385.22
10/16/2025,396.45,33621440,391.15,396.87,390.4
10/15/2025,387.39,20598320,385.93,387.755,384.59
10/14/2025,380.79,18409630,378.21,382.38,377.9
10/13/2025,378.09,18514420,376.5,378.86,375.5797
10/10/2025,369.12,24192780,367.54,370.31,365.44
10/09/2025,365.43,33674820,373.135,373.22,362.83
10/08/2025,372.3,28052280,371.65,373.57,370.5
10/07/2025,366.26,16836770,366.508,367.27,364.55
10/06/2025,364.38,17093660,362.16,365.3,361.37
10/03/2025,357.64,14463960,357.12,358.14,355.8
10/02/2025,354.79,16162050,358.26,358.67,351.4
10/01/2025,356.03,15573610,356.17,356.9722,354.79
09/30/2025,355.47,13312350,351.13,355.57,350.865
09/29/2025,352.46,15719620,351.79,352.8305,351.28
09/26/2025,346.74,11698210,345.83,348.25,345.314
09/25/2025,344.75,12639580,344.39,345.83,342.47
09/24/2025,343.32,12709070,346.7,346.8299,342.14
09/23/2025,346.46,18383980,348.23,348.75,345.32
09/22/2025,345.05,12386420,342.75,345.07,341.84
09/19/2025,339.18,14982570,336.51,339.23,336.3119
09/18/2025,335.62,14913270,336.22,336.32,333.81
09/17/2025,336.97,16535310,338.53,341.24,335.52
09/16/2025,339.59,12161530,340.09,340.88,338.62
09/15/2025,338.91,10569880,336.31,339.28,336.23
09/12/2025,335.42,9619709,335.88,336.39,335.23
09/11/2025,334.76,9082647,333.37,335.1619,332.97
09/10/2025,335.26,11945670,335.73,336.5,326.19
09/09/2025,334.06,21641940,337.03,338.31,333.85
09/08/2025,334.82,18617330,333.66,335.67,333.23
09/05/2025,331.05,16065150,329.53,331.44,328.93
09/04/2025,326.69,11703130,327.03,327.56,325.35
09/03/2025,328.14,16062220,327.76,329.45,326.7301
09/02/2025,325.59,21247530,320.82,325.92,320.24
08/29/2025,318.07,15642640,314.72,318.09,314.64
08/28/2025,315.03,9610202,313.32,315.08,313.07
08/27/2025,312.71,4320071,311.39,312.91,310.77
08/26/2025,312.08,11698460,310.62,312.21,310.305
08/25/2025,309.83,4044429,309.67,310.84,309.67
08/22/2025,310.58,8526492,306.52,311.025,306.43
08/21/2025,307.29,4808975,307.86,308.15,307.0314
08/20/2025,308.36,6515411,307.54,308.47,307.4
08/19/2025,305.27,5029939,306.76,307.4788,305.19
08/18/2025,306.95,6150140,307.79,307.89,306.625
08/15/2025,307.43,5990110,307.34,308,306.87
08/14/2025,307.25,5817726,307.925,308.34,306.52
08/13/2025,309.21,4718586,309.1,310.39,308.45
08/12/2025,308.27,9701725,308.22,309.305,306.71
08/11/2025,308.55,10326700,308.62,309.66,307.63
08/08/2025,313.05,19886800,312.35,313.53,311
08/07/2025,313.12,10891460,311.72,313.135,310.7
08/06/2025,310.5,7418158,310.32,311.24,309.84
08/05/2025,311.16,6997693,310.37,312.24,310.22
08/04/2025,310.91,7639030,310.8,311.74,310.37
08/01/2025,309.11,12843360,308.61,309.55,307.45
07/31/2025,302.96,8980956,304.59,304.61,302.86
07/30/2025,300.96,13459600,304.42,304.65,300.955
07/29/2025,306.25,5741114,305.8,307.03,304.985
07/28/2025,305.41,9275440,306.44,306.58,304.05
07/25/2025,307.4,9376386,307.82,308.31,306.2
07/24/2025,310.27,7698763,309.29,310.99,309.06
07/23/2025,312.18,10547520,314,314.96,311.42
07/22/2025,316.1,13691850,314.48,316.24,313.62
07/21/2025,313.13,10995760,311.88,313.31,311.61
07/18/2025,308.39,5574281,309.24,309.37,308.32
07/17/2025,307.59,6642258,305.5,307.665,305.12
07/16/2025,308.26,17693100,307.11,311.09,305.73
07/15/2025,306.73,8149008,307.73,308.74,305.79
07/14/2025,308.01,5772879,309.07,309.38,307.73
07/11/2025,309.14,9187302,308.855,310.28,308.5153
07/10/2025,306.2,7059561,306.11,306.51,304.82
07/09/2025,305.52,10644080,303.58,305.54,303.23
07/08/2025,304.16,11840550,306.3,306.445,302.77
07/07/2025,307.37,7351641,305.07,307.705,304.53
07/03/2025,307.14,5275838,307.05,307.57,306.15
07/02/2025,309.25,8316377,308.035,309.395,306.96
07/01/2025,307.55,9335647,308.555,309,307.36
06/30/2025,304.83,8192086,302.385,304.92,301.95
06/27/2025,301.22,13301310,300.03,302.36,299.89
06/26/2025,306.78,6787517,305.77,307.28,304.855
06/25/2025,307.12,6733155,305.31,307.36,305.12
06/24/2025,306.19,12035180,305.07,306.34,303.54
06/23/2025,311.08,12687920,310.34,312.67,310.31
06/20/2025,310.13,8794711,309.33,310.89,309.25
06/18/2025,310.26,9370785,312.89,312.98,309.86
06/17/2025,311.94,8234115,312.66,313,310.12
06/16/2025,311.78,12848440,314.8,314.87,311.65
06/13/2025,316.29,16592950,317.26,317.6,315.0375
06/12/2025,312.2,11531410,311.74,313.1,311.15
06/11/2025,308.37,9248766,307.5,308.615,305.85
06/10/2025,306.71,7071702,308.31,308.6,305.87
06/09/2025,306.62,7159036,305.39,307.61,305.06
06/06/2025,305.18,7787508,309.09,309.2,305.1
06/05/2025,309.33,10856010,311.24,312.2,307.6501
06/04/2025,310.9,7462529,309.41,311.88,308.74
06/03/2025,308.91,9315081,309.56,309.56,307.15
06/02/2025,311.67,13593230,309.21,311.72,308.72
05/30/2025,303.6,9553260,303.64,304.02,301.5
05/29/2025,305.61,9502412,305.74,306.89,304.46
05/28/2025,303.81,8803333,304.64,304.99,303.06
05/27/2025,304.5,9578486,303.81,304.875,302.74
05/23/2025,309.75,13339470,308.86,310.25,307.47
05/22/2025,303.11,9704165,305.09,305.28,302.1
05/21/2025,305.82,12414520,304.55,306.46,303.67
05/20/2025,303.58,12850980,298.35,303.6825,298.3
05/19/2025,298.03,11656260,297.845,298.58,296.482
05/16/2025,294.24,14173040,292.62,294.575,291.78
05/15/2025,297.84,13497740,294.1,297.9,293.75
05/14/2025,293.16,14800600,293.67,294.8,291.96
05/13/2025,299.46,10233600,299.02,300.3,297.24
05/12/2025,298.19,14375880,298.33,299.47,296.82
05/09/2025,306.84,6913131,307.79,308.57,306.0101
05/08/2025,304.63,11927580,309.76,310.48,303.05
05/07/2025,310.75,7909976,312.1,313.26,310.08
05/06/2025,315.48,11445270,313.12,315.62,311.4
05/05/2025,306.88,8924009,305.92,307.65,304.675
05/02/2025,297.98,8678366,300.17,300.85,297.03
05/01/2025,297.46,14969060,297.41,297.94,295.32
04/30/2025,303.77,8331894,304.605,306.065,303.44
04/29/2025,306.06,6852106,305.81,306.95,304
04/28/2025,309.07,9375484,304.15,309.11,302.97
04/25/2025,304.73,10691590,301.78,305.37,301.01
04/24/2025,308.07,10844970,306.98,308.495,304.71
04/23/2025,303.65,25421460,304.18,304.74,300.59
04/22/2025,311.11,35242290,317.49,317.63,310.36
04/21/2025,315.59,20372260,315.015,316.41,313.945
04/17/2025,306.12,18287830,306.31,307.13,302.73
04/16/2025,307.47,20778080,304.65,308.0599,303.8
04/15/2025,297.78,7924134,296.93,298.02,296.09
04/14/2025,296.23,12427590,295.54,296.58,294.53
04/11/2025,297.93,21080130,297.96,299.275,296.81
04/10/2025,292.35,19837800,288.805,292.86,287.231
04/09/2025,285.38,25342180,282.22,285.87,281.04
04/08/2025,275.2,12639530,277.867,278.32,274.24
04/07/2025,273.71,19806990,278.855,280.14,272.58
04/04/2025,279.72,21517160,283.64,284.03,278.02
04/03/2025,286.42,20524390,282.78,289.09,282.45
04/02/2025,288.16,11074790,288.28,289.03,287.36
04/01/2025,287.57,15923550,288.54,289.13,285.91
03/31/2025,288.14,13925100,287.53,288.39,285.85
03/28/2025,284.06,9563660,283.82,284.64,282.86
03/27/2025,281.97,8476335,280.55,282.065,279.5868
03/26/2025,278.24,3741843,278.93,279.02,277.78
03/25/2025,278.47,5090179,278.78,279.96,278.27
03/24/2025,277.25,7870109,278.91,279.089,276.86
03/21/2025,278.49,9359340,279.46,279.46,276.59
03/20/2025,280.75,5863288,279.49,280.9,279.43
03/19/2025,281.11,8822197,279.85,281.479,279.06
03/18/2025,279.96,9596547,279.9,280.215,278.97
03/17/2025,276.73,8583359,275.54,276.79,275.39
03/14/2025,275.24,13364970,276.27,276.3,274.66
03/13/2025,275.13,13741460,271.57,275.345,271.55
03/12/2025,270.33,7236239,268.47,271.23,268.36
03/11/2025,269.16,8436562,268.47,269.73,268.4401
03/10/2025,266.04,7593890,267.62,268.44,265.64
03/07/2025,268.39,10431240,269.09,270.34,267.64
03/06/2025,268.25,6136447,268.25,269.51,268.16
03/05/2025,269.62,6990354,267.97,270.26,267.96
03/04/2025,269.06,8481343,269.01,269.4,267.52
03/03/2025,266.74,7725647,265.07,266.88,265.07
02/28/2025,263.27,11504490,262.555,263.4,261.25
02/27/2025,264.93,9374626,266.49,266.67,264.4475
02/26/2025,269.03,7276033,267.08,269.08,266.6612
02/25/2025,268.62,10079780,271.46,271.6796,266.45
02/24/2025,272.21,5374360,271.45,272.32,270.375
02/21/2025,270.74,8917431,270.795,271.51,269.51
02/20/2025,270.99,7356900,270.23,271.84,270.17
02/19/2025,270.85,9342452,270.68,271.33,269.24
02/18/2025,270.7,8185949,269.68,271.0099,269.6
02/14/2025,266.29,11546720,270.07,270.21,265.45
02/13/2025,270.31,8347547,268.4,270.39,268.22
02/12/2025,267.67,9328598,267.15,268.43,266.3451
02/11/2025,267.39,7169450,267.7,268.36,266.711
02/10/2025,268.37,13250310,268,268.66,267.24
02/07/2025,263.9,9154042,265.22,266.345,263.26
02/06/2025,263.43,8731433,263.66,263.72,261.49
02/05/2025,264.13,12681130,264.45,265.99,263.89
02/04/2025,262.5,9850412,261.83,262.54,261.35
02/03/2025,259.94,11521090,259.75,261.3897,259.5236
