Date,Open,High,Low,Close
01/29/2026,96.16,96.66,96.02,96.28
01/28/2026,95.97,96.79,95.86,96.45
01/27/2026,97.05,97.29,95.55,96.22
01/26/2026,97.03,97.33,96.81,97.04
01/23/2026,98.33,98.48,97.43,97.6
01/22/2026,98.79,98.83,98.26,98.36
01/21/2026,98.61,98.87,98.38,98.76
01/20/2026,99.14,99.14,98.25,98.64
01/19/2026,99.37,99.48,99.16,99.39
01/16/2026,99.37,99.48,99.16,99.39
01/15/2026,99.13,99.49,99.09,99.32
01/14/2026,99.19,99.25,98.93,99.13
01/13/2026,98.9,99.23,98.85,99.13
01/12/2026,99.17,99.25,98.67,98.86
01/09/2026,98.91,99.26,98.9,99.13
01/08/2026,98.74,98.98,98.68,98.93
01/07/2026,98.58,98.75,98.5,98.68
01/06/2026,98.41,98.63,98.16,98.58
01/05/2026,98.48,98.86,98.25,98.27
01/02/2026,98.24,98.49,98.15,98.42
01/01/2026,98.25,98.5,98.18,98.32
12/31/2025,98.25,98.5,98.18,98.32
12/30/2025,98.01,98.27,97.94,98.24
12/29/2025,98.05,98.18,97.92,98.04
12/26/2025,97.92,98.13,97.86,98.02
12/25/2025,97.89,98.01,97.75,97.98
12/24/2025,97.89,98.01,97.75,97.95
12/23/2025,98.2,98.2,97.85,97.94
12/22/2025,98.67,98.73,98.2,98.29
12/19/2025,98.46,98.75,98.42,98.6
12/18/2025,98.38,98.56,98.17,98.43
12/17/2025,98.21,98.64,98.18,98.37
12/16/2025,98.27,98.32,97.87,98.15
12/15/2025,98.4,98.48,98.14,98.31
12/12/2025,98.32,98.53,98.3,98.4
12/11/2025,98.56,98.76,98.13,98.35
12/10/2025,99.22,99.26,98.59,98.79
12/09/2025,99.05,99.31,98.95,99.22
12/08/2025,98.97,99.23,98.79,99.09
12/05/2025,99.04,99.13,98.81,98.99
12/04/2025,98.92,99.08,98.77,98.99
12/03/2025,99.28,99.29,98.82,98.85
12/02/2025,99.45,99.57,99.32,99.36
12/01/2025,99.48,99.51,99.01,99.41
11/28/2025,99.57,99.82,99.38,99.46
11/27/2025,99.84,99.96,99.56,99.6
11/26/2025,99.84,99.96,99.56,99.6
11/25/2025,100.21,100.26,99.65,99.66
11/24/2025,100.2,100.3,100.01,100.14
11/21/2025,100.16,100.4,99.99,100.18
11/20/2025,100.17,100.36,100.03,100.16
11/19/2025,99.58,100.24,99.49,100.23
11/18/2025,99.56,99.66,99.4,99.55
11/17/2025,99.27,99.6,99.25,99.59
11/14/2025,99.26,99.4,98.99,99.3
11/13/2025,99.52,99.59,98.99,99.16
11/12/2025,99.46,99.71,99.42,99.5
11/11/2025,99.66,99.74,99.29,99.44
11/10/2025,99.63,99.74,99.46,99.59
11/07/2025,99.76,99.87,99.4,99.6
11/06/2025,100.11,100.11,99.67,99.73
11/05/2025,100.18,100.36,100.06,100.2
11/04/2025,99.98,100.26,99.74,100.22
11/03/2025,99.75,99.99,99.71,99.87
10/31/2025,99.49,99.84,99.42,99.8
10/30/2025,99.14,99.72,98.92,99.53
10/29/2025,98.74,99.36,98.62,99.22
10/28/2025,98.75,98.95,98.57,98.67
10/27/2025,98.84,99,98.73,98.78
10/24/2025,98.94,99.1,98.73,98.95
10/23/2025,98.92,99.14,98.91,98.94
10/22/2025,98.97,99.14,98.79,98.9
10/21/2025,98.61,98.98,98.51,98.93
10/20/2025,98.67,98.67,98.39,98.59
10/17/2025,98.26,98.55,98.03,98.43
10/16/2025,98.67,98.7,98.3,98.34
10/15/2025,99.05,99.08,98.66,98.79
10/14/2025,99.3,99.48,98.99,99.05
10/13/2025,98.94,99.35,98.83,99.27
10/10/2025,99.39,99.43,98.81,98.98
10/09/2025,98.84,99.56,98.7,99.54
10/08/2025,98.61,99.06,98.59,98.92
10/07/2025,98.09,98.66,98.09,98.58
10/06/2025,97.96,98.5,97.96,98.11
10/03/2025,97.85,97.95,97.6,97.72
10/02/2025,97.7,98.13,97.52,97.85
10/01/2025,97.82,97.88,97.46,97.71
09/30/2025,97.91,98.05,97.63,97.78
09/29/2025,98.17,98.18,97.77,97.91
09/26/2025,98.5,98.53,98.13,98.15
09/25/2025,97.82,98.61,97.74,98.55
09/24/2025,97.24,97.92,97.22,97.87
09/23/2025,97.32,97.46,97.2,97.26
09/22/2025,97.65,97.82,97.3,97.34
09/19/2025,97.34,97.81,97.27,97.64
09/18/2025,96.93,97.6,96.84,97.35
09/17/2025,96.62,97.07,96.22,96.87
09/16/2025,97.34,97.39,96.56,96.63
09/15/2025,97.63,97.7,97.27,97.3
09/12/2025,97.52,97.86,97.49,97.55
09/11/2025,97.79,98.09,97.47,97.53
09/10/2025,97.83,97.93,97.6,97.78
09/09/2025,97.38,97.82,97.25,97.79
09/08/2025,97.79,97.94,97.42,97.45
09/05/2025,98.24,98.26,97.43,97.77
09/04/2025,98.15,98.44,98.08,98.35
09/03/2025,98.4,98.64,98.01,98.14
09/02/2025,97.65,98.6,97.62,98.4
09/01/2025,97.87,98.13,97.69,97.77
08/29/2025,97.87,98.13,97.69,97.77
08/28/2025,98.12,98.23,97.74,97.81
08/27/2025,98.25,98.73,98.16,98.23
08/26/2025,98.47,98.56,98.09,98.23
08/25/2025,97.73,98.54,97.71,98.43
08/22/2025,98.6,98.83,97.56,97.72
08/21/2025,98.25,98.68,98.18,98.62
08/20/2025,98.29,98.44,98.08,98.22
08/19/2025,98.15,98.32,97.94,98.27
08/18/2025,97.79,98.19,97.78,98.17
08/15/2025,98.18,98.21,97.73,97.85
08/14/2025,97.75,98.32,97.63,98.25
08/13/2025,98.04,98.13,97.63,97.84
08/12/2025,98.51,98.62,97.9,98.1
08/11/2025,98.24,99.32,98.03,98.52
08/08/2025,97.98,98.35,97.96,98.18
08/07/2025,98.19,98.47,97.95,98.4
08/06/2025,98.75,98.84,98.13,98.18
08/05/2025,98.62,99.07,98.59,98.78
08/04/2025,98.65,98.98,98.59,98.78
08/01/2025,100.01,100.26,98.61,99.14
07/31/2025,99.8,100.1,99.52,99.97
07/30/2025,98.92,99.98,98.7,99.82
07/29/2025,98.64,99.14,98.58,98.89
07/28/2025,97.58,98.69,97.49,98.63
07/25/2025,97.45,97.91,97.43,97.65
07/24/2025,97.18,97.55,97.11,97.38
07/23/2025,97.47,97.61,97.19,97.21
07/22/2025,97.87,97.99,97.31,97.39
07/21/2025,98.36,98.51,97.7,97.85
07/18/2025,98.49,98.58,98.1,98.48
07/17/2025,98.35,98.95,98.34,98.73
07/16/2025,98.58,98.91,97.71,98.39
07/15/2025,98.14,98.7,97.93,98.62
07/14/2025,97.96,98.14,97.77,98.08
07/11/2025,97.57,97.96,97.56,97.85
07/10/2025,97.44,97.92,97.27,97.65
07/09/2025,97.55,97.75,97.46,97.56
07/08/2025,97.36,97.84,97.18,97.52
07/07/2025,96.96,97.67,96.89,97.48
07/04/2025,97.09,97.11,96.86,97.18
07/03/2025,96.75,97.42,96.69,97.18
07/02/2025,96.64,97.15,96.62,96.78
07/01/2025,96.78,96.95,96.38,96.82
06/30/2025,97.19,97.32,96.77,96.88
06/27/2025,97.33,97.5,97,97.4
06/26/2025,97.55,97.61,97,97.15
06/25/2025,97.94,98.2,97.65,97.68
06/24/2025,98.16,98.28,97.71,97.86
06/23/2025,99.09,99.42,98.35,98.42
06/20/2025,98.67,98.89,98.54,98.71
06/19/2025,98.88,99.16,98.75,98.91
06/18/2025,98.87,99.01,98.48,98.91
06/17/2025,98.19,98.87,98.02,98.82
06/16/2025,98.26,98.37,97.69,98
06/13/2025,97.81,98.59,97.62,98.18
06/12/2025,98.46,98.52,97.6,97.92
06/11/2025,98.96,99.22,98.53,98.63
06/10/2025,98.98,99.39,98.86,99.1
06/09/2025,99.2,99.23,98.82,98.94
06/06/2025,98.7,99.36,98.66,99.19
06/05/2025,98.8,98.94,98.35,98.74
06/04/2025,99.18,99.39,98.67,98.79
06/03/2025,98.59,99.33,98.58,99.23
06/02/2025,99.41,99.42,98.61,98.71
05/30/2025,99.25,99.67,99.13,99.33
05/29/2025,100.54,100.54,99.22,99.28
05/28/2025,99.53,99.96,99.44,99.88
05/27/2025,98.96,99.62,98.78,99.52
05/26/2025,99.88,99.94,99.05,99.11
05/23/2025,99.88,99.94,99.05,99.11
05/22/2025,99.64,100.12,99.44,99.96
05/21/2025,99.99,99.99,99.34,99.56
05/20/2025,100.43,100.58,100.01,100.12
05/19/2025,100.91,100.91,100.06,100.43
05/16/2025,100.77,101.26,100.52,101.09
05/15/2025,100.97,101.06,100.59,100.88
05/14/2025,100.95,101.14,100.27,101.04
05/13/2025,101.73,101.76,100.91,101
05/12/2025,100.69,101.98,100.51,101.79
05/09/2025,100.64,100.86,100.09,100.34
05/08/2025,99.85,100.76,99.61,100.64
05/07/2025,99.5,99.97,99.29,99.61
05/06/2025,99.83,100.1,99.17,99.24
05/05/2025,100,100.05,99.46,99.83
05/02/2025,100.18,100.33,99.4,100.03
05/01/2025,99.65,100.38,99.61,100.25
04/30/2025,99.17,99.71,99.14,99.47
04/29/2025,99.04,99.37,98.95,99.24
04/28/2025,99.61,99.84,98.9,99.01
04/25/2025,99.41,99.89,99.4,99.47
04/24/2025,99.75,99.84,99.22,99.38
04/23/2025,99.48,99.94,98.86,99.84
04/22/2025,98.3,99.65,98.01,98.92
04/21/2025,99.08,99.21,97.92,98.28
04/18/2025,99.23,99.75,99.22,99.38
04/17/2025,99.23,99.75,99.22,99.38
04/16/2025,100.06,100.1,99.17,99.38
04/15/2025,99.81,100.28,99.48,100.22
04/14/2025,100.02,100.16,99.21,99.64
04/11/2025,100.78,100.75,99.01,100.1
04/10/2025,102.99,103.03,100.7,100.87
04/09/2025,102.75,103.33,101.84,102.9
04/08/2025,103.43,103.44,102.75,102.96
04/07/2025,103.07,103.54,102.18,103.26
04/04/2025,101.99,103.18,101.54,103.02
04/03/2025,103.15,103.38,101.27,102.07
04/02/2025,104.2,104.31,103.37,103.81
04/01/2025,104.18,104.37,104.02,104.26
03/31/2025,104.01,104.39,103.75,104.21
03/28/2025,104.28,104.5,103.9,104.04
03/27/2025,104.65,104.65,104.07,104.34
03/26/2025,104.25,104.68,104.18,104.55
03/25/2025,104.33,104.47,103.94,104.18
03/24/2025,104.12,104.44,103.84,104.26
03/21/2025,103.78,104.22,103.76,104.09
03/20/2025,103.43,104.13,103.32,103.85
03/19/2025,103.27,103.91,103.25,103.43
03/18/2025,103.44,103.68,103.2,103.24
03/17/2025,103.72,103.81,103.3,103.37
03/14/2025,103.84,104.09,103.57,103.72
03/13/2025,103.61,104.08,103.51,103.83
03/12/2025,103.42,103.78,103.35,103.61
03/11/2025,103.84,103.92,103.22,103.84
03/10/2025,103.86,104.06,103.56,103.84
03/07/2025,104.11,104.24,103.46,103.84
03/06/2025,104.32,104.39,103.76,104.06
03/05/2025,105.62,105.77,104.26,104.3
03/04/2025,106.56,106.65,105.53,105.74
03/03/2025,107.39,107.41,106.47,106.75
02/28/2025,107.25,107.66,107.18,107.61
02/27/2025,106.53,107.35,106.52,107.24
02/26/2025,106.17,106.65,106.16,106.42
02/25/2025,106.77,106.79,106.19,106.31
02/24/2025,106.55,106.75,106.13,106.6
02/21/2025,106.46,106.75,106.38,106.61
02/20/2025,107.12,107.15,106.33,106.37
02/19/2025,107.03,107.38,106.88,107.17
02/18/2025,106.82,107.12,106.81,107.05
02/17/2025,107.12,107.18,106.57,106.71
02/14/2025,107.12,107.18,106.57,106.71
02/13/2025,107.92,108,107.03,107.31
02/12/2025,108.01,108.52,107.63,107.94
02/11/2025,108.34,108.46,107.78,107.96
02/10/2025,108.37,108.44,108.09,108.32
02/07/2025,107.7,108.32,107.52,108.04
02/06/2025,107.62,108.1,107.54,107.69
02/05/2025,108.05,108.01,107.3,107.58
02/04/2025,108.68,109.04,107.92,107.96
02/03/2025,109.3,109.88,108.34,108.99
